TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,10/17/17,CLE vs. BOS,W,240,102,38,83,.458,5,22,.227,21,25,.840,9,41,50,19,3,4,17,25,3
BOS,10/17/17,BOS @ CLE,L,240,99,36,88,.409,8,32,.250,19,25,.760,9,37,46,24,11,4,10,24,-3
GSW,10/17/17,GSW vs. HOU,L,240,121,43,80,.538,16,30,.533,19,21,.905,6,35,41,34,5,9,17,25,-1
HOU,10/17/17,HOU @ GSW,W,240,122,47,97,.485,15,41,.366,13,19,.684,10,33,43,28,9,5,12,16,1
ATL,10/18/17,ATL @ DAL,W,240,117,48,94,.511,9,18,.500,12,15,.800,14,36,50,20,11,6,13,18,6
NOP,10/18/17,NOP @ MEM,L,240,91,30,79,.380,7,25,.280,24,29,.828,16,35,51,15,4,12,17,31,-12
MIN,10/18/17,MIN @ SAS,L,240,99,37,85,.435,8,19,.421,17,23,.739,11,31,42,23,7,4,13,16,-8
PHX,10/18/17,PHX vs. POR,L,240,76,28,89,.315,7,27,.259,13,18,.722,10,23,33,10,9,8,16,22,-48
BOS,10/18/17,BOS vs. MIL,L,240,100,39,91,.429,11,28,.393,11,21,.524,11,32,43,23,12,2,12,27,-8
MIL,10/18/17,MIL @ BOS,W,240,108,38,76,.500,7,21,.333,25,30,.833,6,39,45,19,6,4,15,22,8
MIA,10/18/17,MIA @ ORL,L,240,109,44,101,.436,8,30,.267,13,17,.765,11,33,44,27,6,4,13,20,-7
POR,10/18/17,POR @ PHX,W,240,124,44,90,.489,14,24,.583,22,28,.786,15,42,57,22,8,7,16,20,48
ORL,10/18/17,ORL vs. MIA,W,240,116,43,90,.478,8,21,.381,22,29,.759,11,39,50,22,8,9,14,18,7
MEM,10/18/17,MEM vs. NOP,W,240,103,39,92,.424,9,29,.310,16,28,.571,15,30,45,19,9,8,11,29,12
SAC,10/18/17,SAC vs. HOU,L,240,100,42,88,.477,8,23,.348,8,10,.800,9,33,42,19,5,4,17,20,-5
BKN,10/18/17,BKN @ IND,L,240,131,45,94,.479,12,30,.400,29,32,.906,11,32,43,22,7,2,20,25,-9
IND,10/18/17,IND vs. BKN,W,240,140,53,102,.520,9,34,.265,25,32,.781,14,33,47,29,12,9,14,25,9
HOU,10/18/17,HOU @ SAC,W,240,105,33,83,.398,12,45,.267,27,29,.931,12,32,44,19,7,3,14,14,5
SAS,10/18/17,SAS vs. MIN,W,240,107,41,89,.461,8,21,.381,17,19,.895,12,38,50,22,8,11,11,18,8
WAS,10/18/17,WAS vs. PHI,W,240,120,42,97,.433,6,22,.273,30,38,.789,16,36,52,21,8,10,9,20,5
CHA,10/18/17,CHA @ DET,L,240,90,29,73,.397,9,30,.300,23,29,.793,3,44,47,16,4,3,17,15,-12
DET,10/18/17,DET vs. CHA,W,240,102,41,96,.427,9,26,.346,11,12,.917,9,38,47,24,14,3,8,21,12
DEN,10/18/17,DEN @ UTA,L,240,96,36,77,.468,13,27,.481,11,12,.917,7,31,38,21,4,3,20,18,-10
DAL,10/18/17,DAL vs. ATL,L,240,111,38,86,.442,17,45,.378,18,21,.857,9,32,41,27,5,4,15,19,-6
UTA,10/18/17,UTA vs. DEN,W,240,106,41,81,.506,9,24,.375,15,16,.938,6,30,36,28,9,5,15,18,10
PHI,10/18/17,PHI @ WAS,L,240,115,43,93,.462,15,35,.429,14,19,.737,11,37,48,25,6,6,17,28,-5
LAC,10/19/17,LAC @ LAL,W,240,108,42,107,.393,12,33,.364,12,13,.923,17,42,59,23,12,3,14,20,16
LAL,10/19/17,LAL vs. LAC,L,240,92,37,91,.407,4,16,.250,14,23,.609,12,40,52,21,8,7,19,15,-16
TOR,10/19/17,TOR vs. CHI,W,240,117,39,83,.470,13,29,.448,26,28,.929,13,36,49,26,10,4,17,19,17
NYK,10/19/17,NYK @ OKC,L,240,84,32,79,.405,7,24,.292,13,19,.684,11,30,41,19,8,4,25,23,-21
CHI,10/19/17,CHI @ TOR,L,240,100,37,89,.416,10,32,.313,16,18,.889,10,29,39,22,7,2,19,23,-17
OKC,10/19/17,OKC vs. NYK,W,240,105,39,90,.433,11,38,.289,16,22,.727,13,28,41,26,14,7,18,22,21
SAC,10/20/17,SAC @ DAL,W,240,93,37,87,.425,10,23,.435,9,13,.692,16,41,57,20,8,3,14,18,5
BOS,10/20/17,BOS @ PHI,W,240,102,35,84,.417,10,29,.345,22,32,.688,14,41,55,16,4,5,19,24,10
CLE,10/20/17,CLE @ MIL,W,240,116,44,81,.543,11,26,.423,17,17,1.000,9,35,44,25,8,3,17,11,19
DAL,10/20/17,DAL vs. SAC,L,240,88,31,75,.413,11,33,.333,15,21,.714,7,29,36,19,8,7,12,13,-5
NOP,10/20/17,NOP vs. GSW,L,240,120,45,98,.459,16,36,.444,14,22,.636,16,35,51,26,8,4,17,19,-8
MIL,10/20/17,MIL vs. CLE,L,240,97,38,82,.463,11,35,.314,10,12,.833,8,22,30,23,9,2,14,17,-19
POR,10/20/17,POR @ IND,W,240,114,46,95,.484,9,19,.474,13,17,.765,11,40,51,19,5,6,9,26,18
ATL,10/20/17,ATL @ CHA,L,240,91,36,95,.379,7,30,.233,12,14,.857,6,32,38,19,11,4,13,29,-18
UTA,10/20/17,UTA @ MIN,L,240,97,37,77,.481,9,22,.409,14,17,.824,7,31,38,23,10,8,19,21,-3
DET,10/20/17,DET @ WAS,L,240,111,43,87,.494,10,23,.435,15,20,.750,10,23,33,19,12,1,19,32,-4
PHX,10/20/17,PHX vs. LAL,L,240,130,45,92,.489,14,29,.483,26,38,.684,10,40,50,17,8,9,19,25,-2
ORL,10/20/17,ORL @ BKN,L,240,121,45,89,.506,18,33,.545,13,15,.867,9,31,40,30,9,3,22,27,-5
CHA,10/20/17,CHA vs. ATL,W,240,109,37,86,.430,11,36,.306,24,30,.800,12,45,57,17,5,4,21,18,18
