team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
ATL,73539.44539159873,-87646.08217833041,286517.3243534785,-232618.01623867467,204935.69882882354,-283858.48500085034,54960.78230268777,43895.942838445335,-194435.21818661314,65644.89607958862,148604.82329875862,-113585.2144682777,35018.80890450813,336359.3125511433,687078.8743129667,889743.3431959704,-125080.95975758697,-394961.07499192655,-91733.91103415094,-93880.4837864507,-388322.35447173094,328193.351626509,-636542.9147714302,505478.02945739805,-278398.72849623667,-132649.186392257,177287.55724372316,-115826.99971354345,32392.734031147666,-208513.3569980083,42666.50676056909,-165846.9609843012,716330.163819762,-521958.6912901214,219549.12040271546,-233159.0347163173,324706.0669666442,-232987.02050667637
BOS,105191.155546018,-124732.57978406199,-233137.81640335286,-41821.10758299616,-348361.29710353375,-201255.1053154938,-97321.24659857272,703017.6439116704,-558777.4197458435,-90270.46791857365,-36965.71437060025,-12833.684933349177,-49800.19918671963,-273281.530094097,-421119.65421217366,-257028.8269954372,-47692.16171304257,169357.7639075887,100429.36291708412,315104.78857077553,26274.64468544593,196050.65080553625,-92711.56210197124,474730.1276519175,-189967.70783137917,-8732.315043482968,-212173.26680903614,-133913.66071353244,25277.36530156436,-452577.1760242799,539379.6283884714,86802.34177863454,-226138.86472657675,286814.47380129714,321675.5100695311,245458.1143316037,-734157.0977644817,-398161.5828514146
BKN,66861.86329078219,-60119.05506253885,-315948.4910844324,349988.3483321802,-186362.36421248902,-23245.92656147344,-181302.1354457199,373462.36931758985,-135648.46095238466,89378.95718218898,465387.7299346395,-743171.8751184169,-277784.944839741,403327.85363273165,401700.0600200456,-1007079.8815889958,147008.70717001444,1076927.730866811,-73985.93458080667,-16586.106851399232,-65693.77835699951,666818.7674628374,-289792.05293752387,278428.78105790727,-296341.30826682196,-173999.8172565493,-163625.9695328651,69986.14456883882,31277.30554545845,-221213.15626232725,174873.6472916347,-46339.619744344345,-538178.4412128978,-1177713.9481829766,184818.78203523663,-356317.73739897885,46256.61175817412,-458096.24420179316
CHA,558049.7397357279,-242083.3625920719,-1255591.0155763212,-293760.88914174825,4507.901789696268,-270233.22670058557,-69793.58707552134,1037708.5947461027,-869621.0278304721,-290842.9743133544,814714.5254887943,-609529.3883542219,205184.33740005665,11523.033988722242,1869459.2463684296,-301602.2566092528,-21984.667306866868,636225.1496620253,-152780.1689458062,394376.95912514906,74247.77139071183,840497.7503846702,-980378.5936605441,97809.33610010393,-423267.6428054691,42307.97900570773,148073.4420234231,52451.469570594876,38235.51897225841,-1489106.252956383,1331148.4434207238,-157957.91998943634,-282939.0240559894,-550487.5757684569,-382299.18927283806,679682.0111120162,-296823.66918075044,-628398.446330122
CHI,78067.30186030477,-244445.27034584613,-372276.1893150211,252844.86546801374,310436.60641510313,156110.5477896348,-306827.678425753,256521.2677592342,-473283.5908573927,-225739.38870966987,214891.321154535,59760.94732836159,274651.46859829465,-121496.18183413318,953025.3033449631,-508429.5330835091,-244644.0098576112,1722.1925473903932,-204048.5132690105,62383.32506630262,-16873.29021466092,506432.26805926405,-206072.134944311,91816.47383443742,-277105.0816182583,130796.03138110231,4314.793259931572,229130.05870469575,-145766.87916696214,-264549.34991869534,39114.28757014442,-225435.172968692,547850.056774767,71534.6983271411,-219723.55693721006,-159161.94660083926,142679.8043019952,-316984.02562254603
CLE,61177.6771958827,-176426.92669082724,-237039.6932736377,-31914.910016836046,77769.01261724273,-78608.53015231219,233472.29418221329,336262.5496211097,-259022.10508021116,-230365.5403302149,337518.92649762676,-253682.9301623311,83835.19648742396,199462.46093316696,1427112.7008014256,-710751.1166239665,-380957.20410455327,62090.48667099241,-222118.90707503908,-96582.08270576583,-15085.095906188048,487090.14948136924,-388914.20356829406,49979.019185530335,-37808.47299225456,20557.04059181171,-116389.54848396611,174660.89264263373,-134737.253946129,-572048.6906916668,485672.77923881967,-86376.02204697582,340472.5333273282,-11593.61359000735,-323682.3859083891,-100228.62265395859,406800.2389903891,-272245.40208391927
DAL,365127.3607802385,-25892.24058340722,-345570.9805857488,-12033.630771708446,218154.75258171215,264843.68863772164,64802.22681956854,198757.12106019512,-887795.4357205185,54457.233556580155,445680.95572295034,-283854.1451743082,161826.01066443248,-307512.8435626704,1171558.4307557459,-61783.62244551247,-378537.3812896477,275419.7894056411,-23481.55672064827,89795.32746068812,-98359.1881269554,384302.467332836,-418810.05747488973,375362.0404825733,-57533.789309894615,119523.74488046776,-88846.97516311886,-103341.68670556502,-310752.29077770776,-838263.8357953823,515212.2232976525,-323051.7231175104,-322638.4125288184,-1984.3097368674767,-110982.70082588935,309972.8981659729,-155491.79182980699,-362644.33873365837
DEN,54450.686988672016,-169937.39668303347,-330153.7135326574,128550.90614563407,-24212.544822047235,-107976.98246422353,45009.35413814196,418538.05685354245,-404129.60502596456,-87798.81646842154,678358.971957741,-236008.01345720867,442350.1586567139,493608.5430658001,884443.5588210052,-644135.3287445295,-309871.28876341326,345954.140653634,177463.71616660757,-239972.51487820808,-65858.8863388877,213935.02801353746,73829.1712490151,-38656.00285919954,-918930.1596962068,345631.6015770768,-69597.37774074607,-81374.8182754856,-184550.037808144,-750709.2716266793,876797.5214207609,126088.13922597806,81555.17243108194,-211617.18337964657,-525056.6088715272,446033.7468071956,164695.65784242246,-462371.49394521257
DET,226422.83579541967,-174073.0958902966,-537805.393380314,-182709.6900348573,62945.96081728208,-274653.57200179057,-42909.93343861252,511623.0984163253,-503383.3252803223,166956.54341970567,300761.4081317411,-442725.85525708325,-141965.24702590494,-42780.160528473265,686451.0390225854,-526967.5326599586,329623.4013501619,403777.1370435443,-19510.467722445424,133566.32307863547,-155197.74435425305,353670.5421559386,-775018.5184806429,507383.70764882944,-56845.90147447693,200453.757027322,-63420.5342577372,-79935.455169923,27927.623662777172,-384909.4031278371,466754.52343911555,81845.00969562288,-25139.368729217156,397949.90848017525,-191789.40149011265,549412.3550732082,194870.05029535145,-469521.71195533697
GSW,360942.3592576921,-38739.58966002894,-349346.2680350001,-242988.64228996687,-33425.30748067424,-460227.757848626,-66943.79595647796,471846.8777095334,-743118.2285613039,-59848.19953290746,495280.4919050566,-89513.57046514955,405766.1215699436,-205960.3375926351,627610.6607737851,-132162.51254738696,-336796.2598083778,44401.07886373306,-199130.00393290343,254965.7832889601,-10652.713625549184,357042.23296766443,-663101.9826746301,363910.4335523109,-224528.63182343042,-53525.59146688599,-87637.86142812116,-206611.44901145567,-31916.572988365686,-679617.7659295117,509694.5361216224,-169923.34036139853,-92815.76202169256,-437916.6738521252,-575985.7876952314,202954.92437978234,319691.753705416,-236005.46785949974
