team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
ATL,73540.68168960669,-87646.27938855324,286516.3030619854,-232617.88811863385,204935.55521307263,-283859.7542403244,54961.393957393164,43897.71717264985,-194433.65596809555,65646.81461819776,148605.48579339703,-113587.57758176999,35017.108285654176,336359.2378488881,687079.3557517992,889743.8906352962,-125080.7251589341,-394960.5170322019,-91733.57243271494,-93879.77200234646,-388322.1579564025,328191.6567594783,-636541.9252350252,505477.8718902991,-278400.25500513567,-132648.29057912133,177288.03356426954,-115826.00434812903,32390.356558164487,-208513.25568536663,42665.140143685574,-165848.22628854314,716329.9990008201,-521958.40291465004,219548.7541629613,-233158.07159414986,324707.12226506526,-232987.54566518852
BOS,105963.88490441868,-124928.17367417451,-233235.24522747417,-42393.47890785961,-348236.97994369146,-201406.90159873434,-96667.3795521151,704057.2438903907,-557774.3581475992,-89994.4710142751,-36745.45680730378,-13100.599750107049,-49846.856440188465,-273184.81754338054,-421393.6045016748,-257262.62455899178,-47842.039609019776,169691.44760454632,100200.75770503104,316237.3261542586,26710.33160959956,194992.38369872034,-91983.95011868268,474780.05458681466,-190353.1844997014,-8778.478841245365,-211962.03000869098,-133393.52996771067,23681.514764578318,-452991.68058131105,538744.360741528,85752.56957476074,-225494.68321547264,286880.6511608047,321912.9138853782,245236.88077708133,-733600.3809181625,-397843.17564788676
BKN,66754.8873952919,-60157.5822628733,-316035.0758746495,349943.476398094,-186375.8944975985,-23283.121755539054,-181338.5514017466,373445.9781078779,-135669.20656799217,89298.94564974487,465378.47744841175,-743205.9530285023,-277828.27523605427,403302.98110620485,401694.2064306613,-1007085.5370301951,146995.19935860645,1076907.2123036364,-73981.74763514684,-16697.340330581552,-65736.03049022176,666728.696936223,-289839.31622152467,278420.0930234747,-296364.3221174038,-174037.67900222263,-163644.01071117027,69962.6151923961,31200.147488113937,-221224.30252302802,174837.20180631633,-46387.211490363465,-538200.1449804627,-1177721.420743643,184813.49415171827,-356328.93251183885,46238.29497133665,-458100.5017854853
CHA,557663.7777602676,-242147.26211618778,-1255215.4340473213,-293845.80068169365,4279.757944265726,-270619.4204121802,-69967.9141610725,1037678.5756643424,-869631.1942336091,-290570.7278460399,814973.3663266324,-609462.509933768,205510.05665832545,11513.463726072603,1869519.8685970148,-301533.1879863271,-21804.87326361853,636328.3059440214,-153065.1099082401,394278.8330970107,74198.3489377115,840600.9881075262,-980324.1812815501,97627.22796955766,-423336.43128097843,41868.140078819444,148256.26903184623,52606.85889098285,38844.894286707735,-1489108.639094503,1331166.6273314843,-157942.12221673384,-282924.8683319174,-550499.5635294148,-382253.0656141716,679854.5281001255,-296723.233965565,-628141.966222573
CHI,64432.703760475786,-260633.50253402296,-344753.68878557696,253938.73734572402,337063.732789053,126711.96793911888,-273401.3038000087,248636.0076517522,-449568.7233250493,-226332.27837502022,193460.87779567344,35301.93790623673,228762.01581596604,-178959.64744985668,925654.7967746037,-522385.6898483121,-293723.9329983925,-26244.609978917557,-207206.66272372604,51906.876422778565,-14080.053413832007,501919.7882077549,-198181.99358146504,87464.68705046311,-266071.91066787177,123437.76770647784,-7396.342202187148,244378.68695742948,-121537.66823474808,-188982.87440574108,11392.01970520257,-177590.96532511455,612535.1611139979,73205.39416511735,-192839.26758895343,-203492.67236597993,175657.50379025404,-336647.09398341924
CLE,61116.854672684836,-176448.81085817664,-237087.06948146402,-31940.63979974704,77762.27556388045,-78626.30902695858,233451.1954269453,336252.2324859729,-259035.15968842874,-230409.5250380167,337513.74315735034,-253701.15399140256,83811.78931807599,199449.83246025816,1427108.4943800536,-710753.1266615797,-380964.0174125508,62080.68208203877,-222118.92375562337,-96642.96528274984,-15108.391180533368,487041.543044128,-388940.8709988198,49972.33025630432,-37826.39647553147,20536.285861555218,-116397.15158303347,174651.16220664684,-134780.44498635453,-572053.9649576836,485653.9907600912,-86400.08479172109,340457.7995748584,-11597.64408142748,-323684.69051856437,-100235.82186768221,406788.7394825507,-272245.3854033349
DAL,365099.582891248,-25902.82656027265,-345593.60223954805,-12046.838328784173,218152.23771730936,264836.14740348014,64793.02472764583,198753.02998933825,-887800.5950897092,54435.49421453387,445679.27210001386,-283864.47480913263,161813.9974066717,-307519.07023994013,1171557.0816339923,-61784.133380559935,-378540.16511071316,275413.7212488395,-23484.313936016013,89770.30678706539,-98367.17965907454,384282.858594505,-418821.8151244021,375359.4456144356,-57539.87858162702,119512.4716780216,-88853.41790436568,-103349.62143205029,-310776.2981454246,-838264.768906221,515200.865971481,-323064.01355452015,-322643.0985632485,-1985.9397108359317,-110983.68267445873,309969.06485339,-155498.02627224458,-362641.4578852758
DEN,55057.457420941784,-169449.12773419044,-331039.979772373,129522.40552681425,-24399.963687253818,-108943.82463282117,45470.15165020231,418355.70825320744,-404650.3819470196,-86578.93096743588,677484.4566611974,-238262.73505878248,439220.9217585832,494655.1803139294,885132.3625181734,-644999.1864952365,-309960.65134303103,346063.8702113088,176812.12447903195,-238308.8067498182,-64852.60138993749,212324.54991395335,75859.11237913334,-38732.36087264218,-918990.7125626703,345278.42040765146,-69869.88149682163,-81076.58531739892,-186101.66786924694,-750411.4108473256,876224.8027747539,125813.28135917298,82621.52330032125,-211718.97081067998,-524546.6045095281,446936.6165098843,164417.13645636893,-461250.7460545716
DET,226469.17604768323,-174055.7630571544,-537765.1290367581,-182689.04364198947,62950.07075784842,-274640.7515448998,-42894.25068785747,511630.66306173813,-503372.88419167936,166990.3776982171,300766.1932941973,-442711.5932240622,-141946.1998304275,-42770.06968149143,686453.7770086959,-526966.380364987,329630.38608543546,403787.0486072129,-19515.792234966233,133617.8823768035,-155179.2593357772,353709.0835204316,-774995.7669920183,507389.6577222205,-56832.54312772673,200473.76924523193,-63411.895069911974,-79925.24469339057,27969.169427156514,-384905.04985261324,466770.59293910826,81865.43247083928,-25127.587100487588,397953.335370487,-191786.54085222003,549419.0749183447,194879.17337744933,-469516.5560014174
GSW,360977.07457291393,-38727.42098208131,-349328.6672434941,-242972.79820596214,-33419.08357777327,-460216.5053822783,-66928.44600795806,471851.0317659589,-743112.6366690662,-59833.8491935744,495281.8776299329,-89504.65799784254,405776.41976212664,-205952.16881953206,627610.8643572818,-132159.2375734633,-336790.4844262718,44404.64235294624,-199120.66482112277,254991.5308244544,-10643.623216663553,357062.8824449969,-663091.7774983117,363912.55895234284,-224520.84753268372,-53520.573441583685,-87632.42011042961,-206604.88188214067,-31895.50058626123,-679614.4356859848,509697.8507543197,-169916.69548517422,-92810.84975418942,-437913.82485355786,-575988.4670370388,202958.18674102388,319697.36427747924,-236014.9551308073
